,index,Date,High T,Low T
0,0,01-01-2017,8,-2
1,1,02-01-2017,9,-4
2,2,03-01-2017,10,-3
3,3,04-01-2017,10,0
4,4,05-01-2017,14,1
5,5,06-01-2017,14,-1
6,6,07-01-2017,0,-3
7,7,08-01-2017,0,-6
8,8,09-01-2017,3,-5
9,9,10-01-2017,0,-5
10,10,11-01-2017,1,-3
11,11,12-01-2017,5,-5
12,12,13-01-2017,7,-6
13,13,14-01-2017,11,-1
14,14,15-01-2017,7,1
15,15,16-01-2017,5,1
16,16,17-01-2017,7,3
17,17,18-01-2017,7,4
18,18,19-01-2017,5,2
19,19,20-01-2017,8,1
20,20,21-01-2017,7,-2
21,21,22-01-2017,7,-3
22,22,23-01-2017,6,-1
23,23,24-01-2017,6,2
24,24,25-01-2017,8,1
25,25,26-01-2017,4,-2
26,26,27-01-2017,5,-5
27,27,28-01-2017,7,-5
28,28,29-01-2017,7,0
29,29,30-01-2017,6,0
30,30,31-01-2017,6,-1
31,0,01-02-2017,8,-1
32,1,02-02-2017,11,-1
33,2,03-02-2017,13,4
34,3,04-02-2017,15,1
35,4,05-02-2017,16,7
36,5,06-02-2017,15,6
37,6,07-02-2017,13,8
38,7,08-02-2017,13,5
39,8,09-02-2017,8,4
40,9,10-02-2017,8,0
41,10,11-02-2017,6,0
42,11,12-02-2017,7,-1
43,12,13-02-2017,6,-2
44,13,14-02-2017,7,-5
45,14,15-02-2017,11,-2
46,15,16-02-2017,10,-1
47,16,17-02-2017,10,0
48,17,18-02-2017,11,0
49,18,19-02-2017,11,2
50,19,20-02-2017,13,2
51,20,21-02-2017,12,1
52,21,22-02-2017,15,3
53,22,23-02-2017,16,4
54,23,24-02-2017,16,8
55,24,25-02-2017,16,9
56,25,26-02-2017,12,6
57,26,27-02-2017,14,6
58,27,28-02-2017,12,6
59,0,01-03-2017,13,9
60,1,02-03-2017,15,7
61,2,03-03-2017,15,3
62,3,04-03-2017,16,4
63,4,05-03-2017,16,3
64,5,06-03-2017,16,5
65,6,07-03-2017,16,7
66,7,08-03-2017,12,10
67,8,09-03-2017,13,9
68,9,10-03-2017,13,8
69,10,11-03-2017,14,9
70,11,12-03-2017,14,8
71,12,13-03-2017,11,7
72,13,14-03-2017,12,7
73,14,15-03-2017,13,7
74,15,16-03-2017,14,5
75,16,17-03-2017,12,5
76,17,18-03-2017,15,4
77,18,19-03-2017,16,8
78,19,20-03-2017,16,7
79,20,21-03-2017,18,6
80,21,22-03-2017,20,9
81,22,23-03-2017,17,8
82,23,24-03-2017,17,5
83,24,25-03-2017,21,6
84,25,26-03-2017,17,8
85,26,27-03-2017,12,7
86,27,28-03-2017,14,4
87,28,29-03-2017,20,4
88,29,30-03-2017,22,6
89,30,31-03-2017,20,9
90,0,01-04-2017,16,5
91,1,02-04-2017,16,4
92,2,03-04-2017,16,6
93,3,04-04-2017,19,9
94,4,05-04-2017,15,7
95,5,06-04-2017,17,6
96,6,07-04-2017,15,8
97,7,08-04-2017,17,3
98,8,09-04-2017,17,7
99,9,10-04-2017,16,7
100,10,11-04-2017,18,7
101,11,12-04-2017,19,7
102,12,13-04-2017,19,9
103,13,14-04-2017,22,8
104,14,15-04-2017,22,11
105,15,16-04-2017,21,10
106,16,17-04-2017,18,9
107,17,18-04-2017,14,8
108,18,19-04-2017,16,8
109,19,20-04-2017,18,8
110,20,21-04-2017,14,6
111,21,22-04-2017,13,7
112,22,23-04-2017,19,5
113,23,24-04-2017,16,7
114,24,25-04-2017,18,6
115,25,26-04-2017,19,7
116,26,27-04-2017,21,8
117,27,28-04-2017,22,9
118,28,29-04-2017,23,10
119,29,30-04-2017,20,14
120,0,01-05-2017,24,14
121,1,02-05-2017,24,12
122,2,03-05-2017,26,13
123,3,04-05-2017,24,13
124,4,05-05-2017,24,13
125,5,06-05-2017,23,12
126,6,07-05-2017,23,11
127,7,08-05-2017,22,11
128,8,09-05-2017,23,13
129,9,10-05-2017,20,13
130,10,11-05-2017,21,12
131,11,12-05-2017,24,12
132,12,13-05-2017,24,14
133,13,14-05-2017,26,16
134,14,15-05-2017,24,14
135,15,16-05-2017,23,14
136,16,17-05-2017,23,16
137,17,18-05-2017,25,15
138,18,19-05-2017,22,11
139,19,20-05-2017,24,9
140,20,21-05-2017,22,12
141,21,22-05-2017,23,10
142,22,23-05-2017,24,12
143,23,24-05-2017,23,15
144,24,25-05-2017,24,15
145,25,26-05-2017,18,15
146,26,27-05-2017,20,14
147,27,28-05-2017,23,15
148,28,29-05-2017,27,14
149,29,30-05-2017,25,14
150,30,31-05-2017,25,14
151,0,01-06-2017,26,16
152,1,02-06-2017,28,18
153,2,03-06-2017,27,18
154,3,04-06-2017,25,17
155,4,05-06-2017,26,16
156,5,06-06-2017,26,17
157,6,07-06-2017,27,18
158,7,08-06-2017,27,18
159,8,09-06-2017,25,17
160,9,10-06-2017,25,16
161,10,11-06-2017,23,17
162,11,12-06-2017,29,17
163,12,13-06-2017,27,17
164,13,14-06-2017,32,18
165,14,15-06-2017,28,20
166,15,16-06-2017,26,19
167,16,17-06-2017,24,18
168,17,18-06-2017,24,15
169,18,19-06-2017,27,15
170,19,20-06-2017,28,17
171,20,21-06-2017,29,16
172,21,22-06-2017,31,18
173,22,23-06-2017,30,19
174,23,24-06-2017,31,20
175,24,25-06-2017,31,21
176,25,26-06-2017,31,22
177,26,27-06-2017,32,21
178,27,28-06-2017,32,21
179,28,29-06-2017,32,21
180,29,30-06-2017,35,23
181,0,01-07-2017,36,23
182,1,02-07-2017,36,22
183,2,03-07-2017,32,21
184,3,04-07-2017,29,19
185,4,05-07-2017,29,17
186,5,06-07-2017,29,17
187,6,07-07-2017,31,19
188,7,08-07-2017,29,20
189,8,09-07-2017,32,20
190,9,10-07-2017,32,23
191,10,11-07-2017,30,18
192,11,12-07-2017,31,18
193,12,13-07-2017,33,22
194,13,14-07-2017,32,20
195,14,15-07-2017,29,18
196,15,16-07-2017,27,19
197,16,17-07-2017,22,19
198,17,18-07-2017,25,17
199,18,19-07-2017,30,17
200,19,20-07-2017,31,19
201,20,21-07-2017,31,19
202,21,22-07-2017,30,18
203,22,23-07-2017,31,20
204,23,24-07-2017,32,21
205,24,25-07-2017,31,21
206,25,26-07-2017,30,21
207,26,27-07-2017,24,20
208,27,28-07-2017,28,19
209,28,29-07-2017,29,19
210,29,30-07-2017,32,20
211,30,31-07-2017,33,20
212,0,01-08-2017,34,19
213,1,02-08-2017,36,20
214,2,03-08-2017,35,20
215,3,04-08-2017,35,21
216,4,05-08-2017,37,23
217,5,06-08-2017,37,23
218,6,07-08-2017,36,24
219,7,08-08-2017,36,25
220,8,09-08-2017,33,22
221,9,10-08-2017,33,22
222,10,11-08-2017,34,23
223,11,12-08-2017,34,23
224,12,13-08-2017,31,22
225,13,14-08-2017,30,20
226,14,15-08-2017,29,21
227,15,16-08-2017,34,19
228,16,17-08-2017,36,21
229,17,18-08-2017,36,20
230,18,19-08-2017,34,21
231,19,20-08-2017,32,19
232,20,21-08-2017,32,20
233,21,22-08-2017,25,19
234,22,23-08-2017,27,17
235,23,24-08-2017,28,15
236,24,25-08-2017,29,16
237,25,26-08-2017,30,16
238,26,27-08-2017,30,17
239,27,28-08-2017,29,17
240,28,29-08-2017,27,19
241,29,30-08-2017,27,16
242,30,31-08-2017,27,14
243,0,01-09-2017,26,15
244,1,02-09-2017,29,18
245,2,03-09-2017,30,18
246,3,04-09-2017,28,16
247,4,05-09-2017,27,15
248,5,06-09-2017,26,11
249,6,07-09-2017,27,14
250,7,08-09-2017,28,15
251,8,09-09-2017,28,18
252,9,10-09-2017,28,17
253,10,11-09-2017,29,17
254,11,12-09-2017,29,17
255,12,13-09-2017,30,18
256,13,14-09-2017,30,19
257,14,15-09-2017,30,18
258,15,16-09-2017,28,17
259,16,17-09-2017,30,17
260,17,18-09-2017,31,17
261,18,19-09-2017,29,19
262,19,20-09-2017,29,19
263,20,21-09-2017,26,17
264,21,22-09-2017,24,12
265,22,23-09-2017,24,10
266,23,24-09-2017,25,11
267,24,25-09-2017,26,16
268,25,26-09-2017,22,15
269,26,27-09-2017,23,14
270,27,28-09-2017,23,16
271,28,29-09-2017,20,16
272,29,30-09-2017,16,13
273,0,01-10-2017,17,12
274,1,02-10-2017,20,13
275,2,03-10-2017,21,10
276,3,04-10-2017,22,9
277,4,05-10-2017,24,13
278,5,06-10-2017,24,12
279,6,07-10-2017,26,13
280,7,08-10-2017,19,10
281,8,09-10-2017,21,9
282,9,10-10-2017,21,9
283,10,11-10-2017,22,9
284,11,12-10-2017,22,10
285,12,13-10-2017,23,10
286,13,14-10-2017,23,10
287,14,15-10-2017,21,10
288,15,16-10-2017,25,11
289,16,17-10-2017,23,11
290,17,18-10-2017,26,10
291,18,19-10-2017,24,11
292,19,20-10-2017,23,9
293,20,21-10-2017,23,10
294,21,22-10-2017,23,10
295,22,23-10-2017,19,13
296,23,24-10-2017,20,12
297,24,25-10-2017,16,11
298,25,26-10-2017,18,8
299,26,27-10-2017,18,7
300,27,28-10-2017,13,7
301,28,29-10-2017,16,5
302,29,30-10-2017,17,4
303,30,31-10-2017,16,2
304,0,01-11-2017,12,3
305,1,02-11-2017,15,2
306,2,03-11-2017,15,4
307,3,04-11-2017,17,8
308,4,05-11-2017,17,4
309,5,06-11-2017,17,5
310,6,07-11-2017,17,5
311,7,08-11-2017,16,9
312,8,09-11-2017,18,7
313,9,10-11-2017,18,6
314,10,11-11-2017,14,10
315,11,12-11-2017,18,12
316,12,13-11-2017,18,13
317,13,14-11-2017,19,14
318,14,15-11-2017,17,13
319,15,16-11-2017,16,12
320,16,17-11-2017,15,10
321,17,18-11-2017,15,11
322,18,19-11-2017,17,11
323,19,20-11-2017,12,5
324,20,21-11-2017,12,1
325,21,22-11-2017,14,2
326,22,23-11-2017,17,2
327,23,24-11-2017,16,4
328,24,25-11-2017,12,7
329,25,26-11-2017,16,7
330,26,27-11-2017,13,7
331,27,28-11-2017,9,5
332,28,29-11-2017,12,3
333,29,30-11-2017,15,3
334,0,01-12-2017,18,12
335,1,02-12-2017,18,15
336,2,03-12-2017,20,11
337,3,04-12-2017,15,5
338,4,05-12-2017,12,3
339,5,06-12-2017,10,2
340,6,07-12-2017,12,-1
341,7,08-12-2017,14,0
342,8,09-12-2017,14,2
343,9,10-12-2017,13,1
344,10,11-12-2017,14,0
345,11,12-12-2017,14,1
346,12,13-12-2017,15,3
347,13,14-12-2017,17,5
348,14,15-12-2017,16,3
349,15,16-12-2017,18,5
350,16,17-12-2017,15,7
351,17,18-12-2017,7,4
352,18,19-12-2017,6,0
353,19,20-12-2017,7,-1
354,20,21-12-2017,6,0
355,21,22-12-2017,4,-2
356,22,23-12-2017,9,-2
357,23,24-12-2017,9,-2
358,24,25-12-2017,13,-1
359,25,26-12-2017,14,1
360,26,27-12-2017,14,3
361,27,28-12-2017,16,4
362,28,29-12-2017,14,7
363,29,30-12-2017,12,4
364,30,31-12-2017,13,1
