Date,Clouds
2009-01-01,36.0
2009-01-02,58.0
2009-01-03,96.0
2009-01-04,96.0
2009-01-05,88.0
2009-01-06,83.0
2009-01-07,96.0
2009-01-08,95.0
2009-01-09,94.0
2009-01-10,68.0
2009-01-11,33.0
2009-01-12,53.0
2009-01-13,98.0
2009-01-14,99.0
2009-01-15,85.0
2009-01-16,47.0
2009-01-17,1.0
2009-01-18,39.0
2009-01-19,33.0
2009-01-20,35.0
2009-01-21,91.0
2009-01-22,73.0
2009-01-23,85.0
2009-01-24,77.0
2009-01-25,89.0
2009-01-26,24.0
2009-01-27,60.0
2009-01-28,61.0
2009-01-29,81.0
2009-01-30,35.0
2009-01-31,85.0
2009-02-01,94.0
2009-02-02,99.0
2009-02-03,96.0
2009-02-04,64.0
2009-02-05,35.0
2009-02-06,55.0
2009-02-07,68.0
2009-02-08,44.0
2009-02-09,42.0
2009-02-10,47.0
2009-02-11,73.0
2009-02-12,88.0
2009-02-13,52.0
2009-02-14,98.0
2009-02-15,69.0
2009-02-16,24.0
2009-02-17,30.0
2009-02-18,86.0
2009-02-19,57.0
2009-02-20,68.0
2009-02-21,12.0
2009-02-22,68.0
2009-02-23,20.0
2009-02-24,49.0
2009-02-25,25.0
2009-02-26,4.0
2009-02-27,47.0
2009-02-28,19.0
2009-03-01,38.0
2009-03-02,75.0
2009-03-03,49.0
2009-03-04,96.0
2009-03-05,83.0
2009-03-06,75.0
2009-03-07,82.0
2009-03-08,23.0
2009-03-09,13.0
2009-03-10,20.0
2009-03-11,79.0
2009-03-12,88.0
2009-03-13,23.0
2009-03-14,4.0
2009-03-15,8.0
2009-03-16,27.0
2009-03-17,24.0
2009-03-18,41.0
2009-03-19,16.0
2009-03-20,100.0
2009-03-21,99.0
2009-03-22,99.0
2009-03-23,37.0
2009-03-24,4.0
2009-03-25,71.0
2009-03-26,73.0
2009-03-27,22.0
2009-03-28,34.0
2009-03-29,96.0
2009-03-30,93.0
2009-03-31,89.0
2009-04-01,99.0
2009-04-02,53.0
2009-04-03,87.0
2009-04-04,80.0
2009-04-05,42.0
2009-04-06,99.0
2009-04-07,84.0
2009-04-08,8.0
2009-04-09,7.0
2009-04-10,9.0
2009-04-11,59.0
2009-04-12,24.0
2009-04-13,68.0
2009-04-14,91.0
2009-04-15,32.0
2009-04-16,11.0
2009-04-17,14.0
2009-04-18,62.0
2009-04-19,92.0
2009-04-20,83.0
2009-04-21,92.0
2009-04-22,99.0
2009-04-23,69.0
2009-04-24,78.0
2009-04-25,19.0
