Date,Clouds
2025-01-01,0
2025-01-02,12
2025-01-03,83
2025-01-04,46
2025-01-05,86
2025-01-06,76
2025-01-07,98
2025-01-08,71
2025-01-09,89
2025-01-10,66
2025-01-11,84
2025-01-12,100
2025-01-13,100
2025-01-14,100
2025-01-15,100
2025-01-16,83
2025-01-17,51
2025-01-18,11
2025-01-19,8
2025-01-20,84
2025-01-21,85
2025-01-22,53
2025-01-23,43
2025-01-24,44
2025-01-25,19
2025-01-26,85
2025-01-27,82
2025-01-28,89
2025-01-29,80
2025-01-30,98
2025-01-31,20
2025-02-01,52
2025-02-02,85
2025-02-03,86
2025-02-04,100
2025-02-05,5
2025-02-06,16
2025-02-07,79
2025-02-08,57
2025-02-09,67
2025-02-10,66
2025-02-11,50
2025-02-12,82
2025-02-13,96
2025-02-14,97
2025-02-15,79
2025-02-16,99
2025-02-17,100
2025-02-18,79
2025-02-19,36
2025-02-20,60
2025-02-21,30
2025-02-22,84
2025-02-23,100
2025-02-24,100
2025-02-25,64
2025-02-26,97
2025-02-27,100
2025-02-28,42
2025-03-01,77
2025-03-02,100
2025-03-03,76
2025-03-04,10
2025-03-05,0
2025-03-06,2
2025-03-07,0
2025-03-08,0
2025-03-09,2
2025-03-10,44
2025-03-11,62
2025-03-12,99
2025-03-13,53
2025-03-14,47
2025-03-15,69
2025-03-16,31
2025-03-17,22
2025-03-18,68
2025-03-19,20
2025-03-20,1
2025-03-21,5
2025-03-22,85
2025-03-23,99
2025-03-24,100
2025-03-25,97
2025-03-26,95
2025-03-27,100
2025-03-28,60
2025-03-29,98
2025-03-30,87
2025-03-31,82
2025-04-01,97
2025-04-02,94
2025-04-03,65
2025-04-04,97
2025-04-05,29
2025-04-06,57
2025-04-07,64
2025-04-08,80
2025-04-09,17
2025-04-10,34
2025-04-11,42
2025-04-12,43
2025-04-13,36
2025-04-14,87
2025-04-15,71
2025-04-16,48
2025-04-17,59
2025-04-18,29
2025-04-19,6
2025-04-20,38
2025-04-21,59
2025-04-22,55
2025-04-23,59
2025-04-24,95
2025-04-25,34
2025-04-26,80
2025-04-27,56
2025-04-28,41
2025-04-29,21
2025-04-30,8
2025-05-01,25
2025-05-02,15
2025-05-03,21
2025-05-04,52
2025-05-05,51
2025-05-06,63
2025-05-07,41
2025-05-08,61
2025-05-09,75
2025-05-10,44
2025-05-11,80
2025-05-12,55
2025-05-13,83
2025-05-14,28
2025-05-15,61
2025-05-16,100
2025-05-17,32
2025-05-18,3
2025-05-19,8
2025-05-20,14
2025-05-21,78
2025-05-22,33
2025-05-23,64
2025-05-24,93
2025-05-25,86
2025-05-26,6
2025-05-27,8
2025-05-28,63
2025-05-29,50
2025-05-30,90
2025-05-31,36
2025-06-01,21
2025-06-02,22
2025-06-03,2
2025-06-04,5
2025-06-05,56
2025-06-06,28
2025-06-07,7
2025-06-08,5
2025-06-09,18
2025-06-10,22
2025-06-11,24
2025-06-12,2
2025-06-13,0
2025-06-14,0
2025-06-15,0
2025-06-16,1
2025-06-17,16
2025-06-18,12
2025-06-19,17
2025-06-20,21
2025-06-21,4
2025-06-22,23
2025-06-23,0
2025-06-24,0
2025-06-25,1
2025-06-26,1
2025-06-27,14
2025-06-28,9
2025-06-29,23
2025-06-30,9
2025-07-01,29
2025-07-02,21
2025-07-03,2
2025-07-04,0
2025-07-05,5
2025-07-06,3
2025-07-07,2
2025-07-08,2
2025-07-09,0
2025-07-10,0
2025-07-11,5
2025-07-12,5
2025-07-13,7
2025-07-14,6
2025-07-15,15
2025-07-16,6
2025-07-17,18
2025-07-18,28
2025-07-19,15
2025-07-20,10
2025-07-21,2
2025-07-22,1
2025-07-23,1
2025-07-24,3
2025-07-25,2
2025-07-26,0
2025-07-27,5
2025-07-28,3
2025-07-29,4
2025-07-30,22
2025-07-31,76
2025-08-01,8
2025-08-02,7
2025-08-03,8
2025-08-04,41
2025-08-05,62
2025-08-06,62
2025-08-07,21
2025-08-08,7
2025-08-09,0
2025-08-10,0
2025-08-11,0
2025-08-12,2
2025-08-13,4
2025-08-14,12
2025-08-15,15
2025-08-16,47
2025-08-17,22
2025-08-18,78
2025-08-19,22
2025-08-20,18
2025-08-21,6
2025-08-22,25
2025-08-23,5
2025-08-24,1
2025-08-25,19
2025-08-26,50
2025-08-27,1
2025-08-28,0
2025-08-29,0
2025-08-30,11
2025-08-31,25
2025-09-01,0
2025-09-02,0
2025-09-03,25
2025-09-04,98
2025-09-05,19
2025-09-06,2
2025-09-07,8
2025-09-08,21
2025-09-09,25
2025-09-10,22
2025-09-11,58
2025-09-12,3
2025-09-13,20
2025-09-14,32
2025-09-15,21
2025-09-16,0
2025-09-17,38
2025-09-18,0
2025-09-19,1
2025-09-20,0
2025-09-21,0
2025-09-22,2
2025-09-23,0
2025-09-24,20
2025-09-25,46
2025-09-26,96
2025-09-27,92
2025-09-28,100
2025-09-29,71
2025-09-30,20
2025-10-01,94
2025-10-02,100
2025-10-03,41
2025-10-04,6
2025-10-05,12
2025-10-06,93
2025-10-07,96
2025-10-08,69
2025-10-09,6
2025-10-10,4
2025-10-11,12
2025-10-12,6
2025-10-13,77
2025-10-14,1
2025-10-15,42
2025-10-16,90
2025-10-17,100
2025-10-18,84
2025-10-19,32
2025-10-20,65
2025-10-21,85
2025-10-22,92
2025-10-23,73
2025-10-24,38
2025-10-25,22
2025-10-26,63
2025-10-27,43
2025-10-28,36
2025-10-29,1
2025-10-30,50
2025-10-31,75
2025-11-01,56
2025-11-02,28
2025-11-03,37
2025-11-04,93
2025-11-05,89
2025-11-06,84
2025-11-07,66
2025-11-08,93
2025-11-09,91
2025-11-10,97
2025-11-11,35
2025-11-12,9
2025-11-13,24
2025-11-14,0
2025-11-15,44
2025-11-16,36
2025-11-17,90
2025-11-18,100
2025-11-19,100
2025-11-20,87
2025-11-21,78
2025-11-22,38
2025-11-23,11
2025-11-24,14
2025-11-25,89
2025-11-26,96
2025-11-27,100
2025-11-28,100
2025-11-29,61
2025-11-30,21
2025-12-01,23
2025-12-02,89
2025-12-03,99
2025-12-04,98
2025-12-05,100
2025-12-06,88
2025-12-07,41
2025-12-08,19
2025-12-09,18
2025-12-10,89
2025-12-11,23
2025-12-12,10
2025-12-13,15
2025-12-14,29
2025-12-15,3
2025-12-16,51
2025-12-17,52
2025-12-18,76
2025-12-19,45
2025-12-20,87
2025-12-21,32
2025-12-22,41
2025-12-23,94
2025-12-24,100
2025-12-25,96
2025-12-26,59
2025-12-27,7
2025-12-28,3
2025-12-29,0
2025-12-30,0
2025-12-31,5
