Date,Sun hours
2009-01-01,177
2009-02-01,157
2009-03-01,185
2009-04-01,196
2009-05-01,269
2009-06-01,276
2009-07-01,313
2009-08-01,265
2009-09-01,214
2009-10-01,218
2009-11-01,282
2009-12-01,116
2010-01-01,118
2010-02-01,140
2010-03-01,218
2010-04-01,193
2010-05-01,282
2010-06-01,247
2010-07-01,283
2010-08-01,332
2010-09-01,263
2010-10-01,151
2010-11-01,253
2010-12-01,199
2011-01-01,194
2011-02-01,128
2011-03-01,200
2011-04-01,230
2011-05-01,210
2011-06-01,281
2011-07-01,337
2011-08-01,328
2011-09-01,301
2011-10-01,248
2011-11-01,318
2011-12-01,235
2012-01-01,250
2012-02-01,120
2012-03-01,243
2012-04-01,219
2012-05-01,214
2012-06-01,329
2012-07-01,318
2012-08-01,305
2012-09-01,266
2012-10-01,280
2012-11-01,226
2012-12-01,220
2013-01-01,207
2013-02-01,87
2013-03-01,154
2013-04-01,231
2013-05-01,311
2013-06-01,302
2013-07-01,273
2013-08-01,298
2013-09-01,328
2013-10-01,316
2013-11-01,187
2013-12-01,251
2014-01-01,224
2014-02-01,186
2014-03-01,207
2014-04-01,161
2014-05-01,244
2014-06-01,257
2014-07-01,340
2014-08-01,305
2014-09-01,259
2014-10-01,195
2014-11-01,170
2014-12-01,161
2015-01-01,251
2015-02-01,193
2015-03-01,110
2015-04-01,239
2015-05-01,303
2015-06-01,269
2015-07-01,355
2015-08-01,338
2015-09-01,213
2015-10-01,245
2015-11-01,330
2015-12-01,288
2016-01-01,240
2016-02-01,228
2016-03-01,217
2016-04-01,229
2016-05-01,279
2016-06-01,298
2016-07-01,279
2016-08-01,350
2016-09-01,297
2016-10-01,259
2016-11-01,302
2016-12-01,325
2017-01-01,194
2017-02-01,258
2017-03-01,259
2017-04-01,276
2017-05-01,274
2017-06-01,326
2017-07-01,333
2017-08-01,329
2017-09-01,303
2017-10-01,305
2017-11-01,223
2017-12-01,289
2018-01-01,244
2018-02-01,141
2018-03-01,201
2018-04-01,319
2018-05-01,279
2018-06-01,273
2018-07-01,325
2018-08-01,340
2018-09-01,312
2018-10-01,321
2018-11-01,235
2018-12-01,254
2019-01-01,163
2019-02-01,221
2019-03-01,297
2019-04-01,212
2019-05-01,298
2019-06-01,258
2019-07-01,289
2019-08-01,345
2019-09-01,299
2019-10-01,291
2019-11-01,132
2019-12-01,214
2020-01-01,294
2020-02-01,228
2020-03-01,139
2020-04-01,160
2020-05-01,198
2020-06-01,170
2020-07-01,277
2020-08-01,276
2020-09-01,321
2020-10-01,312
2020-11-01,266
2020-12-01,116
2021-01-01,137
2021-02-01,222
2021-03-01,169
2021-04-01,169
2021-05-01,249
2021-06-01,226
2021-07-01,324
2021-08-01,326
2021-09-01,264
2021-10-01,195
2021-11-01,200
2021-12-01,206
2022-01-01,261
2022-02-01,183
2022-03-01,166
2022-04-01,202
2022-05-01,232
2022-06-01,207
2022-07-01,328
2022-08-01,259
2022-09-01,259
2022-10-01,300
2022-11-01,221
2022-12-01,157
2023-01-01,132
2023-02-01,229
2023-03-01,206
2023-04-01,147
2023-05-01,74
2023-06-01,166
2023-07-01,331
2023-08-01,350
2023-09-01,283
2023-10-01,275
