Date,Avg Temp,Max Temp,Min Temp
2009-01-01,5,9,1
2009-02-01,5,10,2
2009-03-01,8,13,4
2009-04-01,14,19,10
2009-05-01,20,26,14
2009-06-01,23,29,18
2009-07-01,26,33,21
2009-08-01,26,32,21
2009-09-01,21,26,17
2009-10-01,16,21,12
2009-11-01,11,16,7
2009-12-01,8,12,5
2010-01-01,5,8,2
2010-02-01,7,11,3
2010-03-01,9,14,5
2010-04-01,15,20,10
2010-05-01,19,26,14
2010-06-01,23,29,18
2010-07-01,26,32,21
2010-08-01,28,35,23
2010-09-01,21,28,16
2010-10-01,13,17,9
2010-11-01,12,18,8
2010-12-01,5,10,1
2011-01-01,4,9,0
2011-02-01,5,10,1
2011-03-01,9,14,4
2011-04-01,13,19,7
2011-05-01,18,24,12
2011-06-01,23,29,17
2011-07-01,27,33,21
2011-08-01,26,32,21
2011-09-01,24,30,19
2011-10-01,14,19,9
2011-11-01,6,12,2
2011-12-01,5,10,0
2012-01-01,1,6,-2
2012-02-01,3,7,-1
2012-03-01,10,15,5
2012-04-01,14,20,9
2012-05-01,19,25,13
2012-06-01,25,32,19
2012-07-01,29,36,23
2012-08-01,28,34,22
2012-09-01,23,29,18
2012-10-01,19,24,14
2012-11-01,12,17,8
2012-12-01,4,9,0
2013-01-01,5,9,1
2013-02-01,7,11,3
2013-03-01,9,14,5
2013-04-01,15,21,10
2013-05-01,21,28,15
2013-06-01,24,30,18
2013-07-01,26,32,21
2013-08-01,28,34,23
2013-09-01,22,28,16
2013-10-01,16,22,11
2013-11-01,12,16,8
2013-12-01,4,9,1
2014-01-01,6,11,2
2014-02-01,8,13,4
2014-03-01,11,17,7
2014-04-01,14,19,9
2014-05-01,18,24,12
2014-06-01,23,29,17
2014-07-01,26,32,20
2014-08-01,27,33,22
2014-09-01,20,26,16
2014-10-01,16,20,12
2014-11-01,10,14,7
2014-12-01,6,10,3
2015-01-01,4,9,1
2015-02-01,6,10,2
2015-03-01,8,13,5
2015-04-01,13,19,7
2015-05-01,20,26,14
2015-06-01,22,28,17
2015-07-01,27,34,21
2015-08-01,27,33,22
2015-09-01,23,28,19
2015-10-01,16,20,12
2015-11-01,12,18,8
2015-12-01,6,12,2
2016-01-01,4,9,1
2016-02-01,10,15,6
2016-03-01,10,15,6
2016-04-01,16,22,10
2016-05-01,18,24,12
2016-06-01,25,31,19
2016-07-01,27,33,22
2016-08-01,27,34,22
2016-09-01,22,28,17
2016-10-01,15,20,11
2016-11-01,9,15,5
2016-12-01,3,9,-1
2017-01-01,0,5,-3
2017-02-01,7,12,3
2017-03-01,12,18,7
2017-04-01,14,20,8
2017-05-01,19,25,14
2017-06-01,25,32,19
2017-07-01,27,34,22
2017-08-01,28,34,23
2017-09-01,23,29,18
2017-10-01,16,21,12
2017-11-01,11,15,7
2017-12-01,7,12,4
2018-01-01,6,10,2
2018-02-01,7,11,4
2018-03-01,11,16,7
2018-04-01,18,24,13
2018-05-01,22,27,17
2018-06-01,24,29,19
2018-07-01,26,32,21
2018-08-01,27,33,22
2018-09-01,23,29,18
2018-10-01,18,23,14
2018-11-01,12,16,9
2018-12-01,5,10,2
2019-01-01,4,7,1
2019-02-01,7,12,3
2019-03-01,12,18,8
2019-04-01,14,19,9
2019-05-01,18,24,13
2019-06-01,25,30,20
2019-07-01,27,32,22
2019-08-01,28,35,23
2019-09-01,24,29,19
2019-10-01,19,24,14
2019-11-01,14,18,11
2019-12-01,7,11,4
2020-01-01,5,9,1
2020-02-01,8,12,4
2020-03-01,11,15,7
2020-04-01,13,18,8
2020-05-01,19,24,13
2020-06-01,23,28,17
2020-07-01,28,33,22
2020-08-01,28,34,22
2020-09-01,25,31,19
2020-10-01,18,23,14
2020-11-01,11,15,7
2020-12-01,9,12,6
2021-01-01,6,10,4
2021-02-01,8,12,4
2021-03-01,8,13,5
2021-04-01,12,17,8
2021-05-01,20,25,14
2021-06-01,23,29,18
2021-07-01,29,36,23
2021-08-01,30,36,23
2021-09-01,22,29,17
2021-10-01,14,18,10
2021-11-01,12,16,8
2021-12-01,6,10,3
2022-01-01,5,9,1
2022-02-01,7,12,3
2022-03-01,7,11,3
2022-04-01,14,19,9
2022-05-01,20,26,14
2022-06-01,24,31,19
2022-07-01,28,35,21
2022-08-01,28,34,22
2022-09-01,22,28,16
2022-10-01,18,24,12
2022-11-01,13,18,9
2022-12-01,9,13,6
2023-01-01,8,12,5
2023-02-01,7,12,3
2023-03-01,11,16,7
2023-04-01,13,18,8
2023-05-01,17,22,13
2023-06-01,23,28,18
2023-07-01,29,36,23
2023-08-01,29,36,22
2023-09-01,24,31,18
2023-10-01,19,25,15
2023-11-01,12,17,9
2023-12-01,9,12,6
2024-01-01,6,10,3
2024-02-01,10,15,7
2024-03-01,12,16,8
2024-04-01,16,22,11
2024-05-01,18,23,13
2024-06-01,27,36,20
2024-07-01,30,38,22
2024-08-01,28,37,21
2024-09-01,22,29,17
