Date,Avg_Temp,Max_Temp,Min_Temp
2025-01-01,4.9,12.7,0.6
2025-01-02,3.9,11.9,-0.5
2025-01-03,5.1,12.4,-0.2
2025-01-04,6.0,9.9,3.7
2025-01-05,6.8,10.5,3.2
2025-01-06,8.5,13.3,5.3
2025-01-07,7.5,13.0,3.7
2025-01-08,9.4,15.4,6.3
2025-01-09,8.3,13.6,5.8
2025-01-10,9.6,15.3,6.5
2025-01-11,7.8,12.2,5.7
2025-01-12,3.0,6.4,0.9
2025-01-13,1.1,1.5,0.9
2025-01-14,1.9,3.2,1.2
2025-01-15,3.1,5.8,0.8
2025-01-16,4.6,8.1,2.2
2025-01-17,4.0,10.0,0.4
2025-01-18,3.7,11.0,-0.1
2025-01-19,3.6,11.8,-0.4
2025-01-20,4.3,12.3,-0.1
2025-01-21,4.3,8.6,1.2
2025-01-22,5.8,12.3,2.1
2025-01-23,6.5,13.5,1.6
2025-01-24,7.0,14.2,2.9
2025-01-25,9.6,16.8,5.0
2025-01-26,8.9,13.4,5.8
2025-01-27,9.0,14.7,5.5
2025-01-28,8.0,14.3,3.4
2025-01-29,9.1,15.6,4.8
2025-01-30,10.8,15.4,7.2
2025-01-31,10.5,16.6,5.9
2025-02-01,10.2,16.8,5.7
2025-02-02,8.8,13.1,5.3
2025-02-03,9.3,13.9,6.2
2025-02-04,5.4,7.1,4.2
2025-02-05,5.1,9.2,1.6
2025-02-06,5.0,9.8,1.5
2025-02-07,4.6,6.9,2.1
2025-02-08,4.4,8.4,0.8
2025-02-09,4.6,7.6,1.6
2025-02-10,4.2,8.0,0.7
2025-02-11,3.7,8.9,0.2
2025-02-12,5.4,8.9,1.2
2025-02-13,7.0,10.3,5.1
2025-02-14,7.9,11.4,5.5
2025-02-15,8.8,14.7,4.2
2025-02-16,8.9,12.3,6.5
2025-02-17,7.9,10.3,5.6
2025-02-18,5.4,9.4,3.2
2025-02-19,3.5,6.8,0.5
2025-02-20,1.9,7.0,-0.7
2025-02-21,2.2,6.2,-1.0
2025-02-22,2.4,5.3,-0.3
2025-02-23,4.2,6.2,2.1
2025-02-24,5.2,7.8,3.9
2025-02-25,7.2,13.4,2.2
2025-02-26,8.8,13.1,4.2
2025-02-27,9.8,14.1,6.3
2025-02-28,10.8,16.1,6.7
2025-03-01,10.3,15.1,6.5
2025-03-02,9.3,12.9,6.5
2025-03-03,7.6,11.4,3.8
2025-03-04,6.6,12.5,1.8
2025-03-05,8.2,17.2,1.4
2025-03-06,9.7,18.6,2.2
2025-03-07,10.9,20.3,3.6
2025-03-08,11.4,20.7,3.6
2025-03-09,11.6,18.4,5.4
2025-03-10,10.8,18.5,3.6
2025-03-11,12.4,19.1,6.1
2025-03-12,14.3,19.9,10.4
2025-03-13,16.5,22.3,10.7
2025-03-14,16.5,22.7,10.0
2025-03-15,16.1,23.0,10.8
2025-03-16,16.6,23.7,10.4
2025-03-17,14.3,19.8,9.9
2025-03-18,7.5,9.7,4.2
2025-03-19,5.6,10.5,1.1
2025-03-20,7.2,14.1,1.1
2025-03-21,8.6,15.6,2.3
2025-03-22,9.9,16.4,3.6
2025-03-23,10.7,14.2,6.5
2025-03-24,13.0,18.3,8.7
2025-03-25,14.2,19.4,10.9
2025-03-26,14.1,18.6,10.8
2025-03-27,14.3,19.4,11.6
2025-03-28,13.7,18.8,9.4
2025-03-29,12.1,15.4,9.1
2025-03-30,12.5,16.3,9.2
2025-03-31,11.9,15.7,8.9
2025-04-01,11.3,13.7,9.7
2025-04-02,12.5,16.1,9.4
2025-04-03,13.2,18.1,9.9
2025-04-04,12.1,14.8,9.9
2025-04-05,12.8,18.4,8.7
2025-04-06,10.3,17.0,5.5
2025-04-07,6.0,10.4,2.1
2025-04-08,6.0,9.5,3.3
2025-04-09,7.6,13.9,2.5
2025-04-10,10.0,16.7,2.3
2025-04-11,10.8,16.6,7.5
2025-04-12,11.9,18.2,6.3
2025-04-13,11.9,17.7,6.9
2025-04-14,12.3,17.9,7.2
2025-04-15,12.2,16.4,8.9
2025-04-16,13.6,19.8,7.9
2025-04-17,16.0,22.3,10.5
2025-04-18,16.6,23.5,10.8
2025-04-19,17.7,22.7,12.4
2025-04-20,16.3,22.7,10.7
2025-04-21,17.0,23.5,10.8
2025-04-22,18.5,24.1,12.0
2025-04-23,18.3,23.8,12.7
2025-04-24,16.4,20.6,12.4
2025-04-25,17.4,23.2,12.1
2025-04-26,17.1,22.1,13.3
2025-04-27,15.6,20.1,11.8
2025-04-28,14.2,18.0,10.0
2025-04-29,13.9,20.4,6.9
2025-04-30,15.1,23.1,6.8
2025-05-01,17.9,25.0,10.6
2025-05-02,19.3,24.9,12.8
2025-05-03,17.5,22.6,11.6
2025-05-04,18.6,26.2,11.2
2025-05-05,19.6,26.3,13.5
2025-05-06,20.0,24.5,13.4
2025-05-07,20.3,25.5,15.5
2025-05-08,19.9,25.0,14.7
2025-05-09,18.3,24.3,14.6
2025-05-10,17.1,22.1,13.8
2025-05-11,16.5,20.4,13.2
2025-05-12,16.9,21.8,13.0
2025-05-13,14.7,18.6,12.5
2025-05-14,15.3,20.5,10.8
2025-05-15,16.0,21.3,9.8
2025-05-16,15.0,16.9,11.2
2025-05-17,14.4,20.0,9.5
2025-05-18,16.1,22.3,11.0
2025-05-19,17.2,24.1,9.4
2025-05-20,19.7,25.6,12.4
2025-05-21,19.5,24.3,13.9
2025-05-22,20.4,26.8,14.0
2025-05-23,21.8,26.9,15.4
2025-05-24,20.9,26.4,15.5
2025-05-25,14.2,16.0,12.8
2025-05-26,17.1,22.4,12.3
2025-05-27,20.3,25.1,15.6
2025-05-28,20.4,24.7,16.6
2025-05-29,20.0,25.4,14.9
2025-05-30,19.6,24.3,16.0
2025-05-31,19.9,24.9,15.2
2025-06-01,21.1,27.2,14.7
2025-06-02,22.3,29.3,14.4
2025-06-03,23.1,29.8,15.2
2025-06-04,25.2,32.6,16.9
2025-06-05,26.5,32.3,19.1
2025-06-06,26.4,31.1,20.0
2025-06-07,25.8,31.8,18.9
2025-06-08,26.0,32.4,19.1
2025-06-09,27.4,34.0,18.9
2025-06-10,26.7,32.2,21.4
2025-06-11,26.3,30.5,21.7
2025-06-12,27.1,33.2,21.7
2025-06-13,26.9,32.8,21.7
2025-06-14,25.5,31.6,20.5
2025-06-15,24.2,30.8,17.8
2025-06-16,24.0,29.8,17.3
2025-06-17,25.7,32.6,17.6
2025-06-18,27.5,33.1,20.6
2025-06-19,27.7,34.0,20.7
2025-06-20,28.0,33.8,20.9
2025-06-21,26.2,30.7,22.4
2025-06-22,24.2,28.2,20.3
2025-06-23,25.4,32.8,16.4
2025-06-24,27.1,34.3,17.7
2025-06-25,29.3,36.7,20.5
2025-06-26,30.5,36.2,22.7
2025-06-27,30.7,36.6,23.2
2025-06-28,29.8,35.2,24.9
