Date,visibility (km)
1/1/2009,7.2
2/1/2009,8.3
3/1/2009,8.7
4/1/2009,8.9
5/1/2009,9.7
6/1/2009,9.6
7/1/2009,9.9
8/1/2009,9.8
9/1/2009,9.4
10/1/2009,9.2
11/1/2009,8.9
12/1/2009,6.9
1/1/2010,7.9
2/1/2010,7.5
3/1/2010,8.8
4/1/2010,9.2
5/1/2010,9.7
6/1/2010,9.2
7/1/2010,9.7
8/1/2010,9.9
9/1/2010,9.6
10/1/2010,8.1
11/1/2010,8.2
12/1/2010,6.8
1/1/2011,7.7
2/1/2011,8
3/1/2011,8.8
4/1/2011,9.1
5/1/2011,8.9
6/1/2011,9.4
7/1/2011,9.8
8/1/2011,9.7
9/1/2011,9.7
10/1/2011,9.6
11/1/2011,9.7
12/1/2011,9
1/1/2012,9.3
2/1/2012,8.3
3/1/2012,8.8
4/1/2012,8.7
5/1/2012,9
6/1/2012,9.8
7/1/2012,9.9
8/1/2012,9.8
9/1/2012,9.5
10/1/2012,9.5
11/1/2012,8.8
12/1/2012,8.8
1/1/2013,8.6
2/1/2013,7.6
3/1/2013,8.1
4/1/2013,9.3
5/1/2013,9.5
6/1/2013,9.4
7/1/2013,9.7
8/1/2013,10
9/1/2013,9.8
10/1/2013,9.4
11/1/2013,8.3
12/1/2013,9.2
1/1/2014,8.4
2/1/2014,8.4
3/1/2014,8.9
4/1/2014,8.5
5/1/2014,9.3
6/1/2014,9.6
7/1/2014,9.7
8/1/2014,9.9
9/1/2014,9.2
10/1/2014,9
11/1/2014,7.9
12/1/2014,8.6
1/1/2015,9
2/1/2015,9.2
3/1/2015,9
4/1/2015,9.6
5/1/2015,9.7
6/1/2015,9.8
7/1/2015,10
8/1/2015,9.9
9/1/2015,9.6
10/1/2015,9.3
11/1/2015,9.9
12/1/2015,9.4
1/1/2016,9.2
2/1/2016,8.4
3/1/2016,9.3
4/1/2016,9.4
5/1/2016,9.8
6/1/2016,9.9
7/1/2016,9.9
8/1/2016,9.9
9/1/2016,9.9
10/1/2016,9.4
11/1/2016,9.2
12/1/2016,9.9
1/1/2017,8.9
2/1/2017,8.8
3/1/2017,9.5
4/1/2017,9.7
5/1/2017,9.5
6/1/2017,9.9
7/1/2017,9.9
8/1/2017,9.9
9/1/2017,9.9
10/1/2017,9.9
11/1/2017,9.6
12/1/2017,9.5
1/1/2018,9.6
2/1/2018,9.2
3/1/2018,9.3
4/1/2018,9.9
5/1/2018,9.8
6/1/2018,9.8
7/1/2018,9.8
8/1/2018,9.9
9/1/2018,9.9
10/1/2018,9.8
11/1/2018,9.6
12/1/2018,9.7
1/1/2019,9
2/1/2019,9.8
3/1/2019,9.8
4/1/2019,9.5
5/1/2019,9.8
6/1/2019,9.7
7/1/2019,9.7
8/1/2019,9.9
9/1/2019,9.8
10/1/2019,9.7
11/1/2019,9.4
12/1/2019,9.5
1/1/2020,9.8
2/1/2020,9.8
3/1/2020,9.2
4/1/2020,9.3
5/1/2020,9.7
6/1/2020,9.8
7/1/2020,9.9
8/1/2020,9.9
9/1/2020,9.9
10/1/2020,9.9
11/1/2020,9.7
12/1/2020,9.4
1/1/2021,9
2/1/2021,9.3
3/1/2021,9.3
4/1/2021,9.5
5/1/2021,9.8
6/1/2021,9.7
7/1/2021,9.9
8/1/2021,10
9/1/2021,9.9
10/1/2021,9.5
11/1/2021,9.7
12/1/2021,9.6
1/1/2022,9.7
2/1/2022,9.7
3/1/2022,9.2
4/1/2022,9.7
5/1/2022,9.9
6/1/2022,9.9
7/1/2022,9.9
8/1/2022,9.9
9/1/2022,9.9
10/1/2022,10
11/1/2022,9.7
12/1/2022,9.7
1/1/2023,9.5
2/1/2023,9.9
3/1/2023,9.7
4/1/2023,9.5
5/1/2023,9.4
6/1/2023,9.7
7/1/2023,9.9
8/1/2023,10
9/1/2023,9.9
10/1/2023,9.9
