Date,Max Wind,Avg Wind,Avg Gust
2009-01-01,11.4,7,14.2
2009-02-01,12.6,7.8,15.1
2009-03-01,15.9,9.4,18.3
2009-04-01,11.3,6.7,13.4
2009-05-01,11.2,6.7,13.3
2009-06-01,11.1,6.6,12.9
2009-07-01,10.6,6.3,12.9
2009-08-01,9.9,5.8,12.5
2009-09-01,9.8,6.1,12
2009-10-01,11.6,7.3,14.1
2009-11-01,11.6,7.2,13.9
2009-12-01,12.2,7.3,14.9
2010-01-01,11.7,7.2,14.6
2010-02-01,14.9,8.9,17.8
2010-03-01,12.8,8.1,15.9
2010-04-01,11.5,7.2,14.5
2010-05-01,14.1,8.5,16.5
2010-06-01,11.5,7.3,14.6
2010-07-01,10.6,6.3,12.6
2010-08-01,9.6,5.4,12
2010-09-01,10.8,6.2,13.3
2010-10-01,9.7,5.4,12.1
2010-11-01,9.2,5.7,12.7
2010-12-01,10.4,6.5,13.9
2011-01-01,8.4,4.8,10
2011-02-01,10.6,6,12.6
2011-03-01,9.8,6.2,12.7
2011-04-01,12.4,7.3,15.4
2011-05-01,11,6.5,14
2011-06-01,10.7,6.6,13.6
2011-07-01,11.2,6.7,13.9
2011-08-01,9.6,5.5,11.3
2011-09-01,9.6,5.6,12.2
2011-10-01,9.8,5.7,11.5
2011-11-01,8.2,4.7,9.5
2011-12-01,8.7,5.1,11.4
2012-01-01,12,7.5,14.6
2012-02-01,14.4,8.7,18.9
2012-03-01,10.8,6.5,13.6
2012-04-01,12.5,7.8,16.7
2012-05-01,10.4,6.5,14.2
2012-06-01,9.2,5.7,12.3
2012-07-01,9.3,5.6,12.7
2012-08-01,9.1,5.6,12.3
2012-09-01,9.4,5.6,12.1
2012-10-01,9,5.6,11.8
2012-11-01,7.7,4.8,10.7
2012-12-01,10.6,6.1,13
2013-01-01,11.4,7,14.6
2013-02-01,11.3,7.3,15.5
2013-03-01,11.5,7.6,16.1
2013-04-01,10.3,6.4,13.2
2013-05-01,12.1,7.1,15.3
2013-06-01,9.7,5.8,13.3
2013-07-01,9,5.7,13.1
2013-08-01,9,5.7,13.1
2013-09-01,11.6,7.1,14.1
2013-10-01,8.8,5.2,10.5
2013-11-01,9.6,5.9,13
2013-12-01,9,5.6,11.7
2014-01-01,8.7,5.4,11.3
2014-02-01,7.7,4.7,10.1
2014-03-01,10.7,6.5,13.6
2014-04-01,10.5,6.6,14.2
2014-05-01,10,6.1,12.8
2014-06-01,11.2,6.5,14.2
2014-07-01,10,6.3,14
2014-08-01,8.6,5.1,11.9
2014-09-01,9.8,5.9,12.3
2014-10-01,9.1,5.7,11.4
2014-11-01,8.3,5.1,10.7
2014-12-01,10.6,6.5,13.5
2015-01-01,11,7.1,14.9
2015-02-01,11.2,6.8,14.8
2015-03-01,10.1,6.7,14
2015-04-01,12,7.2,14.2
2015-05-01,10,5.9,12.2
2015-06-01,9.8,5.9,12.2
2015-07-01,8.5,5.1,11.1
2015-08-01,8.9,5.5,12.2
2015-09-01,8.9,5.6,12.2
2015-10-01,8.3,5.2,10.7
2015-11-01,10.8,6.6,13.4
2015-12-01,8.3,4.9,10.1
2016-01-01,10.2,6.3,13.7
2016-02-01,10.7,6.9,14.5
2016-03-01,11.5,6.8,14.6
2016-04-01,11.3,6.8,13.6
2016-05-01,11.4,7.2,15.5
2016-06-01,10.9,6.7,14
2016-07-01,8.6,5.7,12.5
2016-08-01,7.8,4.8,12.2
2016-09-01,9.3,5.6,12.8
2016-10-01,8.5,5.5,11.8
2016-11-01,7.8,4.8,10.8
2016-12-01,9.7,6.2,13.1
2017-01-01,8.9,6.1,13.1
