Date,Max_Wind,Avg_Wind,Avg_Gust
2025-01-01,6.3,3.5,13.3
2025-01-02,5.3,2.7,11.2
2025-01-03,5.2,3.3,11.5
2025-01-04,23.7,15.3,50.8
2025-01-05,9.4,5.1,18.7
2025-01-06,5.3,3.1,13.0
2025-01-07,4.4,2.6,12.6
2025-01-08,6.2,2.5,14.4
2025-01-09,4.4,2.7,13.3
2025-01-10,5.2,2.7,14.4
2025-01-11,18.5,13.0,36.7
2025-01-12,26.8,20.8,56.2
2025-01-13,19.9,14.9,42.5
2025-01-14,13.3,11.0,26.3
2025-01-15,12.0,8.8,23.8
2025-01-16,11.3,7.9,22.7
2025-01-17,7.8,6.3,20.5
2025-01-18,11.1,8.1,23.4
2025-01-19,8.8,6.6,19.4
2025-01-20,7.4,4.2,15.5
2025-01-21,7.1,4.0,16.6
2025-01-22,7.0,3.6,19.8
2025-01-23,6.7,3.3,14.0
2025-01-24,6.2,3.4,14.8
2025-01-25,16.9,10.9,37.4
2025-01-26,10.1,5.1,22.7
2025-01-27,4.9,2.8,12.6
2025-01-28,6.3,3.6,17.3
2025-01-29,5.2,3.2,16.2
2025-01-30,13.8,5.5,31.3
2025-01-31,7.5,3.7,19.1
2025-02-01,9.7,6.1,23.8
2025-02-02,9.8,4.6,22.3
2025-02-03,20.7,7.6,41.4
2025-02-04,21.8,10.4,42.8
2025-02-05,19.0,12.2,40.3
2025-02-06,14.8,8.5,31.3
2025-02-07,10.0,7.5,20.2
2025-02-08,8.1,4.9,16.6
2025-02-09,10.1,5.6,22.0
2025-02-10,9.9,5.8,23.4
2025-02-11,9.0,5.7,19.4
2025-02-12,11.1,6.5,23.0
2025-02-13,11.0,5.6,25.6
2025-02-14,7.9,3.9,15.1
2025-02-15,8.6,3.9,17.6
2025-02-16,11.2,7.2,22.3
2025-02-17,17.5,9.0,34.2
2025-02-18,16.2,10.1,29.9
2025-02-19,24.9,19.4,53.6
2025-02-20,12.7,6.9,25.6
2025-02-21,10.6,6.8,26.3
2025-02-22,10.1,6.6,22.0
2025-02-23,8.8,5.8,21.2
2025-02-24,7.4,5.5,19.1
2025-02-25,6.5,3.4,16.6
2025-02-26,8.1,5.3,19.8
2025-02-27,9.2,5.9,23.8
2025-02-28,10.3,4.9,22.0
2025-03-01,12.0,5.9,27.4
2025-03-02,20.5,9.0,42.5
2025-03-03,20.8,11.2,42.5
2025-03-04,6.1,3.4,16.2
2025-03-05,7.6,4.3,20.9
2025-03-06,5.4,3.2,17.3
2025-03-07,6.0,3.7,14.0
2025-03-08,9.2,4.5,19.4
2025-03-09,11.3,6.4,27.4
2025-03-10,10.6,4.5,24.5
2025-03-11,10.9,5.1,29.5
2025-03-12,9.9,5.1,23.4
2025-03-13,15.8,9.1,35.3
2025-03-14,15.0,5.4,33.1
2025-03-15,7.4,4.1,24.8
2025-03-16,10.1,5.3,27.7
2025-03-17,24.1,12.0,52.6
2025-03-18,28.2,20.1,58.7
2025-03-19,17.9,9.4,36.7
2025-03-20,10.6,4.6,23.0
2025-03-21,10.8,5.7,24.8
2025-03-22,13.7,6.3,31.0
2025-03-23,6.0,2.9,15.1
2025-03-24,8.5,3.2,22.3
2025-03-25,11.7,4.3,27.4
2025-03-26,8.1,3.5,22.0
2025-03-27,11.1,4.4,24.5
2025-03-28,9.3,4.1,24.8
2025-03-29,11.2,5.7,26.3
2025-03-30,11.8,5.1,28.4
2025-03-31,9.7,5.8,25.9
2025-04-01,14.3,9.8,32.4
2025-04-02,15.1,7.6,33.5
2025-04-03,11.2,4.8,23.4
2025-04-04,10.3,4.9,23.0
2025-04-05,12.5,6.8,25.6
2025-04-06,30.5,15.5,65.5
2025-04-07,23.8,16.9,57.6
2025-04-08,10.7,6.3,21.6
2025-04-09,13.0,9.5,30.6
2025-04-10,17.6,6.8,36.0
2025-04-11,26.0,17.9,55.8
2025-04-12,28.9,11.5,63.0
2025-04-13,12.8,7.1,28.8
2025-04-14,7.9,3.5,20.2
2025-04-15,9.2,4.8,24.5
2025-04-16,9.5,4.1,25.6
2025-04-17,9.9,3.9,27.0
2025-04-18,8.8,3.9,20.2
2025-04-19,19.2,12.1,41.8
2025-04-20,13.7,4.8,29.5
2025-04-21,11.7,4.3,26.3
2025-04-22,10.1,4.2,26.3
2025-04-23,11.1,5.5,23.8
2025-04-24,11.2,4.4,27.7
2025-04-25,7.7,4.6,20.9
2025-04-26,10.1,3.8,25.2
2025-04-27,8.8,4.5,24.1
2025-04-28,13.1,6.6,30.6
2025-04-29,12.8,5.9,27.7
2025-04-30,13.3,6.6,31.0
2025-05-01,14.7,7.9,32.8
2025-05-02,10.2,5.3,25.6
2025-05-03,15.5,6.4,33.1
2025-05-04,10.9,4.7,25.2
2025-05-05,7.8,4.4,19.1
2025-05-06,13.3,3.3,29.9
2025-05-07,10.7,4.4,27.4
2025-05-08,14.7,5.7,32.8
2025-05-09,16.1,10.1,34.9
2025-05-10,18.6,10.8,40.7
2025-05-11,15.1,7.6,32.8
2025-05-12,12.5,5.3,29.5
2025-05-13,11.8,4.9,32.0
2025-05-14,12.8,6.8,30.2
2025-05-15,13.9,7.6,31.3
2025-05-16,20.7,9.8,40.7
2025-05-17,25.3,16.1,51.8
2025-05-18,13.3,8.6,28.8
2025-05-19,9.4,4.0,21.6
2025-05-20,16.7,8.6,37.1
2025-05-21,12.2,4.2,27.4
2025-05-22,7.4,3.3,20.5
2025-05-23,13.5,6.0,29.2
2025-05-24,22.2,9.8,46.4
2025-05-25,26.9,24.3,58.0
2025-05-26,30.1,19.1,62.6
2025-05-27,23.7,15.8,50.0
2025-05-28,24.5,17.5,51.8
2025-05-29,16.8,12.5,37.4
2025-05-30,22.3,18.0,47.2
2025-05-31,13.2,6.3,31.3
2025-06-01,10.9,6.9,26.3
2025-06-02,13.1,5.1,27.7
2025-06-03,11.0,4.7,25.9
2025-06-04,10.4,4.5,22.7
2025-06-05,9.2,4.0,22.7
2025-06-06,8.3,3.4,20.2
2025-06-07,10.3,6.3,23.0
2025-06-08,12.2,6.3,25.6
2025-06-09,21.1,11.0,42.8
2025-06-10,21.3,10.4,42.5
2025-06-11,11.4,6.4,28.4
2025-06-12,15.7,7.2,34.6
2025-06-13,14.8,9.7,33.5
2025-06-14,19.1,11.3,41.4
2025-06-15,16.6,8.3,36.7
2025-06-16,16.1,7.8,36.7
2025-06-17,15.2,6.2,34.2
2025-06-18,14.7,6.4,31.7
